,property,location,price,area,furnished status,additional details
352,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.71 Cr,1875,Ready to move Construction Status,5 years oldNew
353,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.57 Cr,1085,Ready to move Construction Status,5 years old2 BathroomsNew
354,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.72 Cr,1880,Ready to move Construction Status,5 years oldNew
355,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",5.16 Cr,3565,Ready to move Construction Status,5 years oldNew
356,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.68 Cr,1850,Ready to move Construction Status,5 years oldNew
357,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.11 Cr,1460,Ready to move Construction Status,5 years old3 BathroomsNew
358,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.64 Cr,3200,Ready to move Construction Status,5 years oldNew
359,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",5.01 Cr,3460,Ready to move Construction Status,5 years old4 BathroomsNew
360,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.59 Cr,3170,Ready to move Construction Status,5 years oldNew
361,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",5.05 Cr,3485,Ready to move Construction Status,5 years oldNew
362,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.65 Cr,3210,Ready to move Construction Status,5 years old4 BathroomsNew
363,1 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",81.92 L,565,Ready to move Construction Status,5 years old1 BathroomsNew
364,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.65 Cr,1830,Ready to move Construction Status,5 years old2 BathroomsNew
365,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.84 Cr,1275,Ready to move Construction Status,5 years oldNew
366,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.9 Cr,3385,Ready to move Construction Status,5 years oldNew
367,1 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",81.2 L,560,Ready to move Construction Status,5 years old1 BathroomsNew
368,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.62 Cr,1810,Ready to move Construction Status,5 years old3 BathroomsNew
369,2 BHK Apartment in Sona Vistaas,"Begur, Bangalore",73.01 L,854,Under Construction Construction Status,Possession by May 20252 BathroomsNew
370,4 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",4.96 Cr,3425,Ready to move Construction Status,5 years old4 BathroomsNew
371,1 BHK Apartment in Sona Vistaas,"Begur, Bangalore",49.39 L,541,Under Construction Construction Status,Possession by May 2025New
372,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.2 Cr,1520,Ready to move Construction Status,5 years oldNew
373,3 BHK Apartment in Sona Vistaas,"Begur, Bangalore",1.15 Cr,1407,Under Construction Construction Status,Possession by May 20253 BathroomsNew
374,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.82 Cr,1260,Ready to move Construction Status,5 years old2 BathroomsNew
375,3 BHK Apartment in Sona Vistaas,"Begur, Bangalore",1.38 Cr,1677,Under Construction Construction Status,Possession by May 2025New
376,2 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",1.84 Cr,1270,Ready to move Construction Status,5 years old2 BathroomsNew
377,2 BHK Apartment in Sona Vistaas,"Begur, Bangalore",1.07 Cr,1288,Under Construction Construction Status,Possession by May 2025New
378,1 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",79.02 L,545,Ready to move Construction Status,5 years oldNew
379,1 BHK Apartment in Sona Vistaas,"Begur, Bangalore",44.14 L,480,Under Construction Construction Status,Possession by May 2025New
380,3 BHK Apartment in SNN Raj Etternia Phase 1,"Harlur, Bangalore",2.03 Cr,1400,Ready to move Construction Status,5 years oldNew
381,4 BHK Villa in ISR Indraprastha,"Begur, Bangalore",2.12 Cr,2910,Ready to move Construction Status,0 - 1 year oldNew
382,3 BHK Villa in ISR Indraprastha,"Begur, Bangalore",1.44 Cr,1978,Ready to move Construction Status,0 - 1 year old3 BathroomsNew
383,3 BHK Villa in ISR Indraprastha,"Begur, Bangalore",1.42 Cr,1952,Ready to move Construction Status,0 - 1 year oldNew
384,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",82 L,1216,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
385,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",80.5 L,1216,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
386,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",81 L,1216,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
